  1997 Jan- 6 to Jan-10,
  1997 Jan- 6 to Jan-10,3.82
  1997 Jan- 6 to Jan-10,3.80
  1997 Jan- 6 to Jan-10,3.61
  1997 Jan- 6 to Jan-10,3.92
  1997 Jan-13 to Jan-17,4.00
  1997 Jan-13 to Jan-17,4.01
  1997 Jan-13 to Jan-17,4.34
  1997 Jan-13 to Jan-17,4.71
  1997 Jan-13 to Jan-17,3.91
  1997 Jan-20 to Jan-24,3.26
  1997 Jan-20 to Jan-24,2.99
  1997 Jan-20 to Jan-24,3.05
  1997 Jan-20 to Jan-24,2.96
  1997 Jan-20 to Jan-24,2.62
  1997 Jan-27 to Jan-31,2.98
  1997 Jan-27 to Jan-31,3.05
  1997 Jan-27 to Jan-31,2.91
  1997 Jan-27 to Jan-31,2.86
  1997 Jan-27 to Jan-31,2.77
  1997 Feb- 3 to Feb- 7,2.49
  1997 Feb- 3 to Feb- 7,2.59
  1997 Feb- 3 to Feb- 7,2.65
  1997 Feb- 3 to Feb- 7,2.51
  1997 Feb- 3 to Feb- 7,2.39
  1997 Feb-10 to Feb-14,2.42
  1997 Feb-10 to Feb-14,2.34
  1997 Feb-10 to Feb-14,2.42
  1997 Feb-10 to Feb-14,2.22
  1997 Feb-10 to Feb-14,2.12
  1997 Feb-17 to Feb-21,
  1997 Feb-17 to Feb-21,1.84
  1997 Feb-17 to Feb-21,1.95
  1997 Feb-17 to Feb-21,1.92
  1997 Feb-17 to Feb-21,1.92
  1997 Feb-24 to Feb-28,1.92
  1997 Feb-24 to Feb-28,1.77
  1997 Feb-24 to Feb-28,1.81
  1997 Feb-24 to Feb-28,1.80
  1997 Feb-24 to Feb-28,1.78
  1997 Mar- 3 to Mar- 7,1.80
  1997 Mar- 3 to Mar- 7,1.87
  1997 Mar- 3 to Mar- 7,1.92
  1997 Mar- 3 to Mar- 7,1.82
  1997 Mar- 3 to Mar- 7,1.89
  1997 Mar-10 to Mar-14,1.95
  1997 Mar-10 to Mar-14,1.92
  1997 Mar-10 to Mar-14,1.96
  1997 Mar-10 to Mar-14,1.98
  1997 Mar-10 to Mar-14,1.97
  1997 Mar-17 to Mar-21,2.01
  1997 Mar-17 to Mar-21,1.91
  1997 Mar-17 to Mar-21,1.88
  1997 Mar-17 to Mar-21,1.88
  1997 Mar-17 to Mar-21,1.87
  1997 Mar-24 to Mar-28,1.80
  1997 Mar-24 to Mar-28,1.85
  1997 Mar-24 to Mar-28,1.85
  1997 Mar-24 to Mar-28,1.84
  1997 Mar-24 to Mar-28,
  1997 Mar-31 to Apr- 4,1.84
  1997 Mar-31 to Apr- 4,1.95
  1997 Mar-31 to Apr- 4,1.85
  1997 Mar-31 to Apr- 4,1.87
  1997 Mar-31 to Apr- 4,1.91
  1997 Apr- 7 to Apr-11,1.99
  1997 Apr- 7 to Apr-11,2.01
  1997 Apr- 7 to Apr-11,1.96
  1997 Apr- 7 to Apr-11,1.97
  1997 Apr- 7 to Apr-11,1.98
  1997 Apr-14 to Apr-18,2.00
  1997 Apr-14 to Apr-18,2.00
  1997 Apr-14 to Apr-18,2.02
  1997 Apr-14 to Apr-18,2.08
  1997 Apr-14 to Apr-18,2.10
  1997 Apr-21 to Apr-25,2.09
  1997 Apr-21 to Apr-25,2.10
  1997 Apr-21 to Apr-25,2.22
  1997 Apr-21 to Apr-25,2.11
  1997 Apr-21 to Apr-25,2.16
  1997 Apr-28 to May- 2,2.10
  1997 Apr-28 to May- 2,2.09
  1997 Apr-28 to May- 2,2.16
  1997 Apr-28 to May- 2,2.19
  1997 Apr-28 to May- 2,2.21
  1997 May- 5 to May- 9,2.23
  1997 May- 5 to May- 9,2.25
  1997 May- 5 to May- 9,2.34
  1997 May- 5 to May- 9,2.33
  1997 May- 5 to May- 9,2.30
  1997 May-12 to May-16,2.27
  1997 May-12 to May-16,2.18
  1997 May-12 to May-16,2.22
  1997 May-12 to May-16,2.25
  1997 May-12 to May-16,2.19
  1997 May-19 to May-23,2.25
  1997 May-19 to May-23,2.22
  1997 May-19 to May-23,2.21
  1997 May-19 to May-23,2.22
  1997 May-19 to May-23,2.20
  1997 May-26 to May-30,
  1997 May-26 to May-30,2.29
  1997 May-26 to May-30,2.34
  1997 May-26 to May-30,2.29
  1997 May-26 to May-30,2.23
  1997 Jun- 2 to Jun- 6,2.20
  1997 Jun- 2 to Jun- 6,2.11
  1997 Jun- 2 to Jun- 6,2.19
  1997 Jun- 2 to Jun- 6,2.18
  1997 Jun- 2 to Jun- 6,2.19
  1997 Jun- 9 to Jun-13,2.19
  1997 Jun- 9 to Jun-13,2.16
  1997 Jun- 9 to Jun-13,2.16
  1997 Jun- 9 to Jun-13,2.14
  1997 Jun- 9 to Jun-13,2.15
  1997 Jun-16 to Jun-20,2.20
  1997 Jun-16 to Jun-20,2.20
  1997 Jun-16 to Jun-20,2.22
  1997 Jun-16 to Jun-20,2.23
  1997 Jun-16 to Jun-20,2.25
  1997 Jun-23 to Jun-27,2.29
  1997 Jun-23 to Jun-27,2.32
  1997 Jun-23 to Jun-27,2.32
  1997 Jun-23 to Jun-27,2.23
